"","popularity","acousticness","danceability","duration_ms","energy","liveness","loudness","speechiness","tempo","valence","length_title"
"171",51,0.0128,0.922,245947,0.701,0.0941,-6.679,0.0868,101.996,0.54,9
"173",31,0.0553,0.557,336413,0.778,0.0993,-6.174,0.0339,90.97,0.26,6
"175",42,0.113,0.404,294013,0.677,0.0546,-5.58,0.0384,82.022,0.165,28
"177",34,0.000417,0.466,290827,0.828,0.335,-7.898,0.0518,104.495,0.299,49
"178",40,0.237,0.586,222136,0.712,0.0906,-9.937,0.0313,136.037,0.178,10
"179",31,0.00212,0.413,220800,0.857,0.0981,-4.974,0.0482,100.095,0.073,4
"181",71,0.0427,0.817,224693,0.716,0.358,-8.898,0.144,123.475,0.692,29
"182",40,0.00442,0.509,270965,0.904,0.653,-7.045,0.0405,132.009,0.153,25
"183",52,6.53e-05,0.58,290840,0.786,0.461,-9.979,0.0675,126.004,0.558,42
"184",48,0.0147,0.466,244662,0.903,0.0763,-5.813,0.0352,141.957,0.41,10
"187",42,0.117,0.805,354893,0.794,0.315,-7.469,0.0682,104.992,0.733,9
"189",51,0.0208,0.776,325584,0.474,0.0877,-8.438,0.0418,130.025,0.195,5
"191",32,0.524,0.551,289187,0.327,0.122,-13.714,0.0384,75.037,0.22,10
"192",36,0.000291,0.478,266400,0.869,0.0804,-3.033,0.0785,150.14,0.314,23
"195",37,0.342,0.726,360200,0.87,0.121,-6.506,0.0997,141.962,0.677,35
"197",44,0.0157,0.833,211882,0.938,0.0663,-2.242,0.0551,128.024,0.79,14
"198",45,0.0127,0.825,155435,0.791,0.0722,-4.7,0.0495,101.999,0.512,9
"199",45,0.0111,0.659,350098,0.757,0.128,-4.802,0.03,139.949,0.475,10
"200",37,0.0249,0.865,274013,0.65,0.102,-8.025,0.101,120.03,0.557,13
"201",57,0.958,0.525,291000,0.366,0.137,-16.488,0.0718,179.956,0.0785,14
"202",45,0.0291,0.691,192387,0.89,0.0878,-6.516,0.0349,125.983,0.651,29
"203",43,0.00703,0.682,213157,0.585,0.105,-5.608,0.0473,88.027,0.521,29
"204",68,0.0467,0.824,210547,0.745,0.198,-5.49,0.0755,141.957,0.888,42
"205",44,0.154,0.568,272800,0.707,0.117,-7.07,0.0384,93.98,0.623,16
"206",36,0.00121,0.42,372667,0.968,0.0921,-9.047,0.07,124.837,0.37,15
"207",39,0.137,0.494,205160,0.357,0.131,-17.063,0.0343,95.031,0.292,16
"209",32,0.0562,0.734,303920,0.757,0.283,-3.661,0.163,127.993,0.158,52
"210",33,0.932,0.434,247187,0.277,0.0832,-16.148,0.0417,133.298,0.26,9
"211",60,0.238,0.481,270257,0.687,0.107,-6.748,0.0699,145.971,0.188,27
"214",61,0.013,0.708,155840,0.827,0.504,-4.591,0.0453,120.015,0.367,40
"215",45,0.00584,0.667,265600,0.969,0.676,-0.714,0.106,141.957,0.278,17
"216",41,0.00968,0.871,202268,0.843,0.111,-5.447,0.0885,97.013,0.877,6
"217",48,0.137,0.766,359166,0.396,0.052,-12.673,0.0406,113.005,0.187,18
"219",34,0.135,0.744,271693,0.563,0.133,-12.188,0.0361,156.018,0.87,10
"220",41,4.18e-05,0.597,330000,0.971,0.253,-2.109,0.0487,141.957,0.264,8
"221",39,0.547,0.765,268813,0.784,0.0815,-8.278,0.0649,126.228,0.655,25
"223",40,0.107,0.58,403693,0.612,0.226,-11.631,0.0735,124.022,0.555,12
"224",46,0.0733,0.565,283773,0.779,0.263,-3.891,0.0412,119.949,0.541,21
"225",42,0.00739,0.707,244965,0.877,0.101,-1.27,0.0729,144.959,0.165,8
"226",44,0.0004559999999999,0.625,320333,0.843,0.179,-5.163,0.0695,117.949,0.717,6
"227",57,0.0616,0.387,240713,0.758,0.118,-2.794,0.0578,127.947,0.132,8
"229",37,0.0273,0.689,255238,0.814,0.106,-4.254,0.0338,126.044,0.177,27
"230",41,0.206,0.818,309055,0.487,0.111,-10.593,0.189,141.99,0.35,21
"231",36,0.0112,0.866,224836,0.906,0.0382,-2.967,0.0479,126.084,0.267,6
"232",29,0.0476,0.67,342293,0.793,0.0714,-3.848,0.0308,93.802,0.671,17
"233",46,0.794,0.756,222250,0.518,0.101,-6.924,0.0736,107.035,0.27,8
"234",22,0.00748,0.282,279880,0.777,0.158,-6.798,0.0665,127.191,0.345,16
"236",35,0.142,0.629,283520,0.901,0.0942,-4.911,0.0553,141.957,0.637,15
"237",23,0.00716,0.703,166957,0.939,0.161,-2.69,0.0547,127.976,0.332,4
"238",43,0.0136,0.878,208745,0.557,0.0766,-10.992,0.0566,115.064,0.66,25
"239",44,0.00598,0.625,332387,0.742,0.0921,-7.913,0.0285,112.639,0.508,9
"240",27,0.0145,0.58,201694,0.72,0.281,-5.541,0.0638,143.816,0.16,5
"241",62,0.0508,0.813,271219,0.569,0.0559999999999999,-6.068,0.0468,123.028,0.18,9
"242",33,0.0846,0.616,243960,0.834,0.62,-4.932,0.0422,123.01,0.863,12
